"Year","Month","DeathRate","ZipCode"
2020,4,64,"10017"
2020,4,42.4,"10018"
2020,4,98.8,"10019"
2020,4,104.6,"10021"
2020,4,68,"10022"
2020,4,77.7,"10023"
2020,4,104.4,"10024"
2020,4,175.7,"10025"
2020,4,113.8,"10026"
2020,4,149.9,"10027"
2020,4,52.8,"10028"
2020,4,227.5,"10029"
2020,4,140.1,"10030"
2020,4,179.6,"10031"
2020,4,230,"10032"
2020,4,158.9,"10033"
2020,4,153.9,"10034"
2020,4,309.3,"10035"
2020,4,128.5,"10036"
2020,4,269.3,"10037"
2020,4,83.1,"10038"
2020,4,191.3,"10039"
2020,4,295.7,"10040"
2020,4,214.2,"10044"
2020,4,103.9,"10065"
2020,4,NA,"10069"
2020,4,108.5,"10075"
2020,4,63.2,"10128"
2020,4,254.5,"10301"
2020,4,146.1,"10302"
2020,4,120.7,"10303"
2020,4,310.4,"10304"
2020,4,142.3,"10305"
2020,4,128.8,"10306"
2020,4,73.8,"10307"
2020,4,80.5,"10308"
2020,4,82,"10309"
2020,4,115.2,"10310"
2020,4,75.3,"10312"
2020,4,157.8,"10314"
2020,4,282.9,"10451"
2020,4,230,"10452"
2020,4,189.4,"10453"
2020,4,267,"10454"
2020,4,243.5,"10455"
2020,4,286.5,"10456"
2020,4,202.1,"10457"
2020,4,131.7,"10458"
2020,4,319.6,"10459"
2020,4,203.8,"10460"
2020,4,209.8,"10461"
2020,4,188.5,"10462"
2020,4,298.6,"10463"
2020,4,NA,"10464"
2020,4,215.7,"10465"
2020,4,185.1,"10466"
2020,4,276.3,"10467"
2020,4,201.8,"10468"
2020,4,410.4,"10469"
2020,4,126.7,"10470"
2020,4,362.5,"10471"
2020,4,217.7,"10472"
2020,4,196.2,"10473"
2020,4,133.6,"10474"
2020,4,318.2,"10475"
2020,4,364.1,"11004"
2020,4,119.4,"11101"
2020,4,226.3,"11102"
2020,4,151.7,"11103"
2020,4,141.5,"11104"
2020,4,110.5,"11105"
2020,4,157.6,"11106"
2020,4,144.5,"11201"
2020,4,275.5,"11203"
2020,4,145.3,"11204"
2020,4,110.3,"11205"
2020,4,161.5,"11206"
2020,4,234.7,"11207"
2020,4,234.4,"11208"
2020,4,134.8,"11209"
2020,4,216.2,"11210"
2020,4,119,"11211"
2020,4,297.4,"11212"
2020,4,247.7,"11213"
2020,4,191.8,"11214"
2020,4,61.8,"11215"
2020,4,127.7,"11216"
2020,4,195.7,"11217"
2020,4,183.8,"11218"
2020,4,187.6,"11219"
2020,4,153.3,"11220"
2020,4,176.8,"11221"
2020,4,85.8,"11222"
2020,4,141.1,"11223"
2020,4,484.1,"11224"
2020,4,210.4,"11225"
2020,4,280.4,"11226"
2020,4,184.5,"11228"
2020,4,158,"11229"
2020,4,268.9,"11230"
2020,4,93.6,"11231"
2020,4,110.8,"11232"
2020,4,191.1,"11233"
2020,4,174.4,"11234"
2020,4,323.5,"11235"
2020,4,266.7,"11236"
2020,4,195.8,"11237"
2020,4,181.1,"11238"
2020,4,606.7,"11239"
2020,4,430.3,"11354"
2020,4,194,"11355"
2020,4,166.6,"11356"
2020,4,232.5,"11357"
2020,4,113.8,"11358"
2020,4,183.8,"11360"
2020,4,201,"11361"
2020,4,187.8,"11362"
2020,4,112.1,"11364"
2020,4,155.2,"11365"
2020,4,168.9,"11366"
2020,4,140.1,"11367"
2020,4,318.9,"11368"
2020,4,472.8,"11369"
2020,4,207.7,"11370"
2020,4,314.8,"11372"
2020,4,269.5,"11373"
2020,4,166.7,"11374"
2020,4,213.3,"11375"
2020,4,205.8,"11377"
2020,4,179.8,"11378"
2020,4,240.2,"11379"
2020,4,112.9,"11385"
2020,4,219.9,"11411"
2020,4,189,"11412"
2020,4,203.7,"11413"
2020,4,201,"11414"
2020,4,259.6,"11415"
2020,4,178.1,"11416"
2020,4,135.3,"11417"
2020,4,194.2,"11418"
2020,4,173.2,"11419"
2020,4,173.5,"11420"
2020,4,217.2,"11421"
2020,4,182.2,"11422"
2020,4,350.1,"11423"
2020,4,133.9,"11426"
2020,4,148.5,"11427"
2020,4,263.7,"11428"
2020,4,208.6,"11429"
2020,4,316,"11432"
2020,4,232.7,"11433"
2020,4,247.1,"11434"
2020,4,220.8,"11435"
2020,4,199.6,"11436"
2020,4,475.6,"11691"
2020,4,399.4,"11692"
2020,4,268.3,"11693"
2020,4,385,"11694"
2020,4,NA,"11697"
2020,4,NA,"10004"
2020,4,NA,"10005"
2020,4,NA,"10280"
2020,4,NA,"10282"
2020,4,NA,"11109"
2020,4,133.6,"11363"
2020,5,47,"Bronx"
2020,5,37.7,"Brooklyn"
2020,5,28.9,"Manhattan"
2020,5,44,"Queens"
2020,5,36.5,"Staten_Island"
2020,5,39.2,"Citywide"
2020,5,21.7,"10001"
2020,5,41.2,"10002"
2020,5,13,"10003"
2020,5,NA,"10006"
2020,5,NA,"10007"
2020,5,31.5,"10009"
2020,5,15,"10010"
2020,5,26.1,"10011"
2020,5,NA,"10012"
